name,category,province,regency,latitude,longitude,qid,images
Air Terjun Sinar Petir,air-terjun,Lampung,Tanggamus,-5.542896,104.848969,,https://upload.wikimedia.org/wikipedia/id/c/c5/Air_Terjun_Sinar_Petir.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Air Terjun Lae Mbilulu,air-terjun,Aceh,Aceh Tenggara,2.610873,98.349114,,
Air terjun napua wamena,air-terjun,Papua Pegunungan,Jayawijaya,-4.117792,138.892242,,
Curug Ciherang,air-terjun,Jawa Barat,Bogor,-6.636778,106.998472,,https://upload.wikimedia.org/wikipedia/id/thumb/0/0f/Curug_Ciherang_Jonggol_Bawah.jpg/960px-Curug_Ciherang_Jonggol_Bawah.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Air Terjun Bedegung,air-terjun,Sumatera Selatan,Muara Enim,-4.059245,103.766884,,
Air Terjun Perjiwa,air-terjun,Kalimantan Timur,Kota Samarinda,-0.412533,117.018503,,
Air Terjun Kembar Siapat,air-terjun,Kalimantan Timur,Kutai Timur,1.361934,117.878671,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Air_Terjun_Kembar_Siapat_%281%29.jpg/960px-Air_Terjun_Kembar_Siapat_%281%29.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Kembar%20Siapat%20%281%29.jpg?width=800
Air Terjun Tamasapi,air-terjun,Sulawesi Barat,Mamuju,-2.704135,118.921525,,
Curug Anom,air-terjun,Jawa Barat,Kota Bandung,-6.813178,107.568904,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Anom_Waterfall_Bottom_View.jpg/960px-Anom_Waterfall_Bottom_View.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Anom%20Waterfall%20Right%20Bottom%20View.jpg?width=800
Air Terjun Alam Kandung,air-terjun,Jawa Timur,Tulungagung,-8.169515,112.075917,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Air_terjun_Alam_Kandung.jpg/960px-Air_terjun_Alam_Kandung.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20terjun%20Alam%20Kandung.jpg?width=800
